valor,unidad,vigenciadesde,vigenciahasta
643.42,COP,1991-12-02,1991-12-02
639.22,COP,1991-12-03,1991-12-03
635.7,COP,1991-12-04,1991-12-04
631.51,COP,1991-12-05,1991-12-05
627.16,COP,1991-12-06,1991-12-06
638.06,COP,1991-12-07,1991-12-09
622.92,COP,1991-12-10,1991-12-10
627.46,COP,1991-12-11,1991-12-11
633.09,COP,1991-12-12,1991-12-12
632.35,COP,1991-12-13,1991-12-13
630.91,COP,1991-12-14,1991-12-16
626.23,COP,1991-12-17,1991-12-17
626.52,COP,1991-12-18,1991-12-18
633.35,COP,1991-12-19,1991-12-19
621.71,COP,1991-12-20,1991-12-20
620.62,COP,1991-12-21,1991-12-23
622.95,COP,1991-12-24,1991-12-24
622.95,COP,1991-12-25,1991-12-26
631.63,COP,1991-12-27,1991-12-27
632.37,COP,1991-12-28,1991-12-30
632.37,COP,1991-12-31,1991-12-31
632.37,COP,1992-01-01,1992-01-01
638.61,COP,1992-01-02,1992-01-02
632.58,COP,1992-01-03,1992-01-03
638.07,COP,1992-01-04,1992-01-07
638.17,COP,1992-01-08,1992-01-08
638.61,COP,1992-01-09,1992-01-09
637.86,COP,1992-01-10,1992-01-10
645.04,COP,1992-01-11,1992-01-13
659.74,COP,1992-01-14,1992-01-14
657.49,COP,1992-01-15,1992-01-15
653.45,COP,1992-01-16,1992-01-16
652.91,COP,1992-01-17,1992-01-17
645.35,COP,1992-01-18,1992-01-20
645.97,COP,1992-01-21,1992-01-21
647.04,COP,1992-01-22,1992-01-22
647.01,COP,1992-01-23,1992-01-23
647.01,COP,1992-01-24,1992-01-24
644.83,COP,1992-01-25,1992-01-27
645.53,COP,1992-01-28,1992-01-28
645.2,COP,1992-01-29,1992-01-29
644.04,COP,1992-01-30,1992-01-30
644.27,COP,1992-01-31,1992-01-31
640.52,COP,1992-02-01,1992-02-03
640.52,COP,1992-02-04,1992-02-04
638.01,COP,1992-02-05,1992-02-05
637.65,COP,1992-02-06,1992-02-06
636.9,COP,1992-02-07,1992-02-07
635.34,COP,1992-02-08,1992-02-10
634.74,COP,1992-02-11,1992-02-11
634.59,COP,1992-02-12,1992-02-12
634.67,COP,1992-02-13,1992-02-13
635.6,COP,1992-02-14,1992-02-14
634.74,COP,1992-02-15,1992-02-17
635.66,COP,1992-02-18,1992-02-18
635.21,COP,1992-02-19,1992-02-19
634.93,COP,1992-02-20,1992-02-20
633.31,COP,1992-02-21,1992-02-21
633.03,COP,1992-02-22,1992-02-24
633.55,COP,1992-02-25,1992-02-25
633.74,COP,1992-02-26,1992-02-26
634.06,COP,1992-02-27,1992-02-27
633.91,COP,1992-02-28,1992-02-28
636.54,COP,1992-02-29,1992-03-02
640.95,COP,1992-03-03,1992-03-03
636.05,COP,1992-03-04,1992-03-04
635.86,COP,1992-03-05,1992-03-05
636.73,COP,1992-03-06,1992-03-06
636.22,COP,1992-03-07,1992-03-09
635.88,COP,1992-03-10,1992-03-10
639.78,COP,1992-03-11,1992-03-11
639.38,COP,1992-03-12,1992-03-12
641.29,COP,1992-03-13,1992-03-13
642.0,COP,1992-03-14,1992-03-16
644.13,COP,1992-03-17,1992-03-17
643.83,COP,1992-03-18,1992-03-18
642.59,COP,1992-03-19,1992-03-19
641.53,COP,1992-03-20,1992-03-20
640.37,COP,1992-03-21,1992-03-24
642.0,COP,1992-03-25,1992-03-25
641.81,COP,1992-03-26,1992-03-26
641.22,COP,1992-03-27,1992-03-27
647.24,COP,1992-03-28,1992-03-30
641.59,COP,1992-03-31,1992-03-31
641.98,COP,1992-04-01,1992-04-01
645.14,COP,1992-04-02,1992-04-02
644.77,COP,1992-04-03,1992-04-03
643.11,COP,1992-04-04,1992-04-06
645.73,COP,1992-04-07,1992-04-07
643.98,COP,1992-04-08,1992-04-08
644.61,COP,1992-04-09,1992-04-09
646.5,COP,1992-04-10,1992-04-10
647.28,COP,1992-04-11,1992-04-13
649.48,COP,1992-04-14,1992-04-14
655.66,COP,1992-04-15,1992-04-15
657.97,COP,1992-04-16,1992-04-20
655.32,COP,1992-04-21,1992-04-21
652.57,COP,1992-04-22,1992-04-22
651.48,COP,1992-04-23,1992-04-23
650.24,COP,1992-04-24,1992-04-24
651.36,COP,1992-04-25,1992-04-27
650.31,COP,1992-04-28,1992-04-28
651.95,COP,1992-04-29,1992-04-29
653.83,COP,1992-04-30,1992-04-30
653.58,COP,1992-05-01,1992-05-04
653.1,COP,1992-05-05,1992-05-05
653.7,COP,1992-05-06,1992-05-06
654.74,COP,1992-05-07,1992-05-07
656.4,COP,1992-05-08,1992-05-08
657.91,COP,1992-05-09,1992-05-11
658.52,COP,1992-05-12,1992-05-12
660.57,COP,1992-05-13,1992-05-13
660.88,COP,1992-05-14,1992-05-14
663.43,COP,1992-05-15,1992-05-15
663.58,COP,1992-05-16,1992-05-18
663.75,COP,1992-05-19,1992-05-19
664.5,COP,1992-05-20,1992-05-20
663.1,COP,1992-05-21,1992-05-21
662.6,COP,1992-05-22,1992-05-22
662.11,COP,1992-05-23,1992-05-25
662.15,COP,1992-05-26,1992-05-26
660.46,COP,1992-05-27,1992-05-27
660.16,COP,1992-05-28,1992-05-28
660.99,COP,1992-05-29,1992-05-29
664.37,COP,1992-05-30,1992-06-02
666.11,COP,1992-06-03,1992-06-03
664.3,COP,1992-06-04,1992-06-04
666.47,COP,1992-06-05,1992-06-05
664.36,COP,1992-06-06,1992-06-08
665.91,COP,1992-06-09,1992-06-09
665.92,COP,1992-06-10,1992-06-10
667.96,COP,1992-06-11,1992-06-11
667.52,COP,1992-06-12,1992-06-12
669.55,COP,1992-06-13,1992-06-15
671.36,COP,1992-06-16,1992-06-16
675.76,COP,1992-06-17,1992-06-17
680.17,COP,1992-06-18,1992-06-18
678.25,COP,1992-06-19,1992-06-19
683.37,COP,1992-06-20,1992-06-23
690.08,COP,1992-06-24,1992-06-24
699.09,COP,1992-06-25,1992-06-25
701.83,COP,1992-06-26,1992-06-26
697.57,COP,1992-06-27,1992-06-30
695.36,COP,1992-07-01,1992-07-01
694.43,COP,1992-07-02,1992-07-02
693.71,COP,1992-07-03,1992-07-03
693.4,COP,1992-07-04,1992-07-06
696.12,COP,1992-07-07,1992-07-07
695.65,COP,1992-07-08,1992-07-08
699.01,COP,1992-07-09,1992-07-09
703.74,COP,1992-07-10,1992-07-10
708.72,COP,1992-07-11,1992-07-13
720.47,COP,1992-07-14,1992-07-14
719.15,COP,1992-07-15,1992-07-15
717.45,COP,1992-07-16,1992-07-16
717.7,COP,1992-07-17,1992-07-17
715.11,COP,1992-07-18,1992-07-21
710.91,COP,1992-07-22,1992-07-22
707.96,COP,1992-07-23,1992-07-23
699.73,COP,1992-07-24,1992-07-24
699.68,COP,1992-07-25,1992-07-27
701.66,COP,1992-07-28,1992-07-28
701.89,COP,1992-07-29,1992-07-29
702.02,COP,1992-07-30,1992-07-30
705.14,COP,1992-07-31,1992-07-31
702.52,COP,1992-08-01,1992-08-03
701.82,COP,1992-08-04,1992-08-04
698.84,COP,1992-08-05,1992-08-05
695.32,COP,1992-08-06,1992-08-06
694.25,COP,1992-08-07,1992-08-10
692.72,COP,1992-08-11,1992-08-11
692.25,COP,1992-08-12,1992-08-12
694.28,COP,1992-08-13,1992-08-13
692.51,COP,1992-08-14,1992-08-14
693.25,COP,1992-08-15,1992-08-18
693.69,COP,1992-08-19,1992-08-19
692.48,COP,1992-08-20,1992-08-20
692.56,COP,1992-08-21,1992-08-21
693.94,COP,1992-08-22,1992-08-24
689.56,COP,1992-08-25,1992-08-25
689.21,COP,1992-08-26,1992-08-26
689.45,COP,1992-08-27,1992-08-27
690.3,COP,1992-08-28,1992-08-28
691.68,COP,1992-08-29,1992-08-31
691.9,COP,1992-09-01,1992-09-01
692.89,COP,1992-09-02,1992-09-02
693.02,COP,1992-09-03,1992-09-03
695.62,COP,1992-09-04,1992-09-04
696.77,COP,1992-09-05,1992-09-07
697.69,COP,1992-09-08,1992-09-08
698.28,COP,1992-09-09,1992-09-09
695.38,COP,1992-09-10,1992-09-10
695.54,COP,1992-09-11,1992-09-11
696.39,COP,1992-09-12,1992-09-14
696.29,COP,1992-09-15,1992-09-15
696.84,COP,1992-09-16,1992-09-16
695.7,COP,1992-09-17,1992-09-17
696.66,COP,1992-09-18,1992-09-18
696.42,COP,1992-09-19,1992-09-21
699.16,COP,1992-09-22,1992-09-22
697.77,COP,1992-09-23,1992-09-23
698.4,COP,1992-09-24,1992-09-24
697.01,COP,1992-09-25,1992-09-25
704.8,COP,1992-09-26,1992-09-28
701.0,COP,1992-09-29,1992-09-29
702.81,COP,1992-09-30,1992-09-30
699.7,COP,1992-10-01,1992-10-01
703.08,COP,1992-10-02,1992-10-02
710.22,COP,1992-10-03,1992-10-05
704.52,COP,1992-10-06,1992-10-06
703.66,COP,1992-10-07,1992-10-07
702.71,COP,1992-10-08,1992-10-08
704.06,COP,1992-10-09,1992-10-09
701.88,COP,1992-10-10,1992-10-13
702.48,COP,1992-10-14,1992-10-14
705.52,COP,1992-10-15,1992-10-15
708.21,COP,1992-10-16,1992-10-16
707.13,COP,1992-10-17,1992-10-19
707.35,COP,1992-10-20,1992-10-20
706.06,COP,1992-10-21,1992-10-21
709.22,COP,1992-10-22,1992-10-22
710.19,COP,1992-10-23,1992-10-23
712.04,COP,1992-10-24,1992-10-26
713.55,COP,1992-10-27,1992-10-27
716.39,COP,1992-10-28,1992-10-28
715.31,COP,1992-10-29,1992-10-29
717.37,COP,1992-10-30,1992-10-30
716.88,COP,1992-10-31,1992-11-03
718.98,COP,1992-11-04,1992-11-04
719.21,COP,1992-11-05,1992-11-05
720.96,COP,1992-11-06,1992-11-06
722.57,COP,1992-11-07,1992-11-09
720.48,COP,1992-11-10,1992-11-10
722.37,COP,1992-11-11,1992-11-11
723.72,COP,1992-11-12,1992-11-12
722.72,COP,1992-11-13,1992-11-13
724.07,COP,1992-11-14,1992-11-17
730.11,COP,1992-11-18,1992-11-18
724.97,COP,1992-11-19,1992-11-19
724.9,COP,1992-11-20,1992-11-20
721.98,COP,1992-11-21,1992-11-23
726.97,COP,1992-11-24,1992-11-24
720.63,COP,1992-11-25,1992-11-25
721.47,COP,1992-11-26,1992-11-26
722.61,COP,1992-11-27,1992-11-27
725.45,COP,1992-11-28,1992-11-30
729.42,COP,1992-12-01,1992-12-01
725.75,COP,1992-12-02,1992-12-02
729.74,COP,1992-12-03,1992-12-03
738.19,COP,1992-12-04,1992-12-04
736.29,COP,1992-12-05,1992-12-07
732.11,COP,1992-12-08,1992-12-09
732.4,COP,1992-12-10,1992-12-10
727.21,COP,1992-12-11,1992-12-11
729.8,COP,1992-12-12,1992-12-14
732.69,COP,1992-12-15,1992-12-15
736.2,COP,1992-12-16,1992-12-16
734.98,COP,1992-12-17,1992-12-17
732.54,COP,1992-12-18,1992-12-18
735.31,COP,1992-12-19,1992-12-21
736.82,COP,1992-12-22,1992-12-22
735.0,COP,1992-12-23,1992-12-23
735.19,COP,1992-12-24,1992-12-24
735.19,COP,1992-12-25,1992-12-28
737.44,COP,1992-12-29,1992-12-29
737.98,COP,1992-12-30,1992-12-30
737.98,COP,1992-12-31,1992-12-31
737.98,COP,1993-01-01,1993-01-04
737.55,COP,1993-01-05,1993-01-05
738.65,COP,1993-01-06,1993-01-06
740.08,COP,1993-01-07,1993-01-07
742.61,COP,1993-01-08,1993-01-08
746.63,COP,1993-01-09,1993-01-12
749.63,COP,1993-01-13,1993-01-13
748.98,COP,1993-01-14,1993-01-14
746.71,COP,1993-01-15,1993-01-15
746.39,COP,1993-01-16,1993-01-18
747.2,COP,1993-01-19,1993-01-19
748.07,COP,1993-01-20,1993-01-20
750.06,COP,1993-01-21,1993-01-21
750.0,COP,1993-01-22,1993-01-22
748.56,COP,1993-01-23,1993-01-25
747.25,COP,1993-01-26,1993-01-26
747.13,COP,1993-01-27,1993-01-27
746.21,COP,1993-01-28,1993-01-28
745.14,COP,1993-01-29,1993-01-29
746.05,COP,1993-01-30,1993-02-01
745.27,COP,1993-02-02,1993-02-02
745.64,COP,1993-02-03,1993-02-03
745.73,COP,1993-02-04,1993-02-04
745.79,COP,1993-02-05,1993-02-05
746.56,COP,1993-02-06,1993-02-08
745.45,COP,1993-02-09,1993-02-09
745.49,COP,1993-02-10,1993-02-10
745.38,COP,1993-02-11,1993-02-11
748.22,COP,1993-02-12,1993-02-12
748.88,COP,1993-02-13,1993-02-15
748.18,COP,1993-02-16,1993-02-16
749.69,COP,1993-02-17,1993-02-17
750.75,COP,1993-02-18,1993-02-18
752.47,COP,1993-02-19,1993-02-19
751.96,COP,1993-02-20,1993-02-22
752.52,COP,1993-02-23,1993-02-23
753.33,COP,1993-02-24,1993-02-24
755.07,COP,1993-02-25,1993-02-25
759.2,COP,1993-02-26,1993-02-26
758.03,COP,1993-02-27,1993-03-01
757.89,COP,1993-03-02,1993-03-02
760.71,COP,1993-03-03,1993-03-03
762.68,COP,1993-03-04,1993-03-04
762.04,COP,1993-03-05,1993-03-05
762.2,COP,1993-03-06,1993-03-08
763.38,COP,1993-03-09,1993-03-09
763.9,COP,1993-03-10,1993-03-10
764.74,COP,1993-03-11,1993-03-11
765.19,COP,1993-03-12,1993-03-12
764.79,COP,1993-03-13,1993-03-15
764.29,COP,1993-03-16,1993-03-16
765.06,COP,1993-03-17,1993-03-17
766.12,COP,1993-03-18,1993-03-18
766.42,COP,1993-03-19,1993-03-19
766.84,COP,1993-03-20,1993-03-23
766.63,COP,1993-03-24,1993-03-24
766.91,COP,1993-03-25,1993-03-25
767.99,COP,1993-03-26,1993-03-26
767.4,COP,1993-03-27,1993-03-29
766.79,COP,1993-03-30,1993-03-30
766.41,COP,1993-03-31,1993-03-31
766.44,COP,1993-04-01,1993-04-01
767.98,COP,1993-04-02,1993-04-02
768.46,COP,1993-04-03,1993-04-05
768.31,COP,1993-04-06,1993-04-06
768.52,COP,1993-04-07,1993-04-07
768.6,COP,1993-04-08,1993-04-12
769.34,COP,1993-04-13,1993-04-13
769.8,COP,1993-04-14,1993-04-14
771.56,COP,1993-04-15,1993-04-15
772.71,COP,1993-04-16,1993-04-16
773.22,COP,1993-04-17,1993-04-19
773.7,COP,1993-04-20,1993-04-20
773.97,COP,1993-04-21,1993-04-21
774.34,COP,1993-04-22,1993-04-22
775.05,COP,1993-04-23,1993-04-23
775.32,COP,1993-04-24,1993-04-26
775.2,COP,1993-04-27,1993-04-27
774.52,COP,1993-04-28,1993-04-28
773.78,COP,1993-04-29,1993-04-29
774.94,COP,1993-04-30,1993-04-30
773.82,COP,1993-05-01,1993-05-03
775.53,COP,1993-05-04,1993-05-04
776.99,COP,1993-05-05,1993-05-05
777.88,COP,1993-05-06,1993-05-06
778.17,COP,1993-05-07,1993-05-07
777.17,COP,1993-05-08,1993-05-10
777.75,COP,1993-05-11,1993-05-11
779.41,COP,1993-05-12,1993-05-12
780.49,COP,1993-05-13,1993-05-13
780.8,COP,1993-05-14,1993-05-14
780.79,COP,1993-05-15,1993-05-17
781.42,COP,1993-05-18,1993-05-18
781.8,COP,1993-05-19,1993-05-19
781.84,COP,1993-05-20,1993-05-20
781.94,COP,1993-05-21,1993-05-21
782.0,COP,1993-05-22,1993-05-25
783.15,COP,1993-05-26,1993-05-26
782.85,COP,1993-05-27,1993-05-27
780.78,COP,1993-05-28,1993-05-28
779.56,COP,1993-05-29,1993-05-31
779.0,COP,1993-06-01,1993-06-01
779.01,COP,1993-06-02,1993-06-02
777.82,COP,1993-06-03,1993-06-03
778.12,COP,1993-06-04,1993-06-04
780.6,COP,1993-06-05,1993-06-07
782.29,COP,1993-06-08,1993-06-08
784.62,COP,1993-06-09,1993-06-09
784.95,COP,1993-06-10,1993-06-10
785.79,COP,1993-06-11,1993-06-11
784.8,COP,1993-06-12,1993-06-15
785.9,COP,1993-06-16,1993-06-16
786.64,COP,1993-06-17,1993-06-17
787.49,COP,1993-06-18,1993-06-18
786.77,COP,1993-06-19,1993-06-22
787.06,COP,1993-06-23,1993-06-23
786.42,COP,1993-06-24,1993-06-24
786.72,COP,1993-06-25,1993-06-25
786.96,COP,1993-06-26,1993-06-28
786.8,COP,1993-06-29,1993-06-29
787.12,COP,1993-06-30,1993-06-30
786.1,COP,1993-07-01,1993-07-01
787.51,COP,1993-07-02,1993-07-02
788.65,COP,1993-07-03,1993-07-06
789.47,COP,1993-07-07,1993-07-07
790.58,COP,1993-07-08,1993-07-08
791.73,COP,1993-07-09,1993-07-09
793.18,COP,1993-07-10,1993-07-12
794.67,COP,1993-07-13,1993-07-13
795.66,COP,1993-07-14,1993-07-14
797.0,COP,1993-07-15,1993-07-15
797.06,COP,1993-07-16,1993-07-16
797.31,COP,1993-07-17,1993-07-19
797.41,COP,1993-07-20,1993-07-21
797.63,COP,1993-07-22,1993-07-22
798.17,COP,1993-07-23,1993-07-23
798.83,COP,1993-07-24,1993-07-26
799.17,COP,1993-07-27,1993-07-27
799.96,COP,1993-07-28,1993-07-28
800.42,COP,1993-07-29,1993-07-29
801.04,COP,1993-07-30,1993-07-30
801.35,COP,1993-07-31,1993-08-02
801.15,COP,1993-08-03,1993-08-03
801.86,COP,1993-08-04,1993-08-04
801.82,COP,1993-08-05,1993-08-05
801.86,COP,1993-08-06,1993-08-06
801.78,COP,1993-08-07,1993-08-09
802.3,COP,1993-08-10,1993-08-10
803.22,COP,1993-08-11,1993-08-11
804.48,COP,1993-08-12,1993-08-12
804.93,COP,1993-08-13,1993-08-13
804.51,COP,1993-08-14,1993-08-17
804.76,COP,1993-08-18,1993-08-18
805.62,COP,1993-08-19,1993-08-19
806.15,COP,1993-08-20,1993-08-20
806.72,COP,1993-08-21,1993-08-23
807.04,COP,1993-08-24,1993-08-24
807.57,COP,1993-08-25,1993-08-25
807.77,COP,1993-08-26,1993-08-26
807.55,COP,1993-08-27,1993-08-27
807.53,COP,1993-08-28,1993-08-30
806.86,COP,1993-08-31,1993-08-31
806.83,COP,1993-09-01,1993-09-01
808.04,COP,1993-09-02,1993-09-02
807.96,COP,1993-09-03,1993-09-03
807.68,COP,1993-09-04,1993-09-06
807.62,COP,1993-09-07,1993-09-07
808.24,COP,1993-09-08,1993-09-08
809.33,COP,1993-09-09,1993-09-09
810.25,COP,1993-09-10,1993-09-10
810.03,COP,1993-09-11,1993-09-13
810.09,COP,1993-09-14,1993-09-14
810.81,COP,1993-09-15,1993-09-15
811.75,COP,1993-09-16,1993-09-16
811.93,COP,1993-09-17,1993-09-17
811.18,COP,1993-09-18,1993-09-20
810.88,COP,1993-09-21,1993-09-21
809.75,COP,1993-09-22,1993-09-22
810.04,COP,1993-09-23,1993-09-23
810.55,COP,1993-09-24,1993-09-24
809.93,COP,1993-09-25,1993-09-27
809.55,COP,1993-09-28,1993-09-28
809.69,COP,1993-09-29,1993-09-29
810.84,COP,1993-09-30,1993-09-30
811.31,COP,1993-10-01,1993-10-01
812.29,COP,1993-10-02,1993-10-04
812.27,COP,1993-10-05,1993-10-05
812.75,COP,1993-10-06,1993-10-06
812.54,COP,1993-10-07,1993-10-07
811.91,COP,1993-10-08,1993-10-08
811.28,COP,1993-10-09,1993-10-11
811.19,COP,1993-10-12,1993-10-12
811.47,COP,1993-10-13,1993-10-13
811.46,COP,1993-10-14,1993-10-14
812.41,COP,1993-10-15,1993-10-15
813.28,COP,1993-10-16,1993-10-19
813.79,COP,1993-10-20,1993-10-20
816.41,COP,1993-10-21,1993-10-21
819.26,COP,1993-10-22,1993-10-22
819.41,COP,1993-10-23,1993-10-25
819.44,COP,1993-10-26,1993-10-26
819.55,COP,1993-10-27,1993-10-27
818.98,COP,1993-10-28,1993-10-28
818.06,COP,1993-10-29,1993-10-29
817.03,COP,1993-10-30,1993-11-02
816.7,COP,1993-11-03,1993-11-03
817.01,COP,1993-11-04,1993-11-04
816.79,COP,1993-11-05,1993-11-05
815.7,COP,1993-11-06,1993-11-08
814.26,COP,1993-11-09,1993-11-09
813.95,COP,1993-11-10,1993-11-10
811.07,COP,1993-11-11,1993-11-11
809.87,COP,1993-11-12,1993-11-12
809.95,COP,1993-11-13,1993-11-16
815.18,COP,1993-11-17,1993-11-17
816.32,COP,1993-11-18,1993-11-18
816.62,COP,1993-11-19,1993-11-19
817.06,COP,1993-11-20,1993-11-22
814.48,COP,1993-11-23,1993-11-23
812.12,COP,1993-11-24,1993-11-24
811.67,COP,1993-11-25,1993-11-25
812.04,COP,1993-11-26,1993-11-26
812.11,COP,1993-11-27,1993-11-29
811.73,COP,1993-11-30,1993-11-30
812.21,COP,1993-12-01,1993-12-01
811.78,COP,1993-12-02,1993-12-02
809.63,COP,1993-12-03,1993-12-03
806.49,COP,1993-12-04,1993-12-06
803.1,COP,1993-12-07,1993-12-07
800.6,COP,1993-12-08,1993-12-09
798.51,COP,1993-12-10,1993-12-10
797.53,COP,1993-12-11,1993-12-13
798.2,COP,1993-12-14,1993-12-14
798.12,COP,1993-12-15,1993-12-15
799.43,COP,1993-12-16,1993-12-16
804.89,COP,1993-12-17,1993-12-17
806.5,COP,1993-12-18,1993-12-20
803.81,COP,1993-12-21,1993-12-21
802.46,COP,1993-12-22,1993-12-22
801.4,COP,1993-12-23,1993-12-23
801.69,COP,1993-12-24,1993-12-24
801.69,COP,1993-12-25,1993-12-27
809.13,COP,1993-12-28,1993-12-28
802.33,COP,1993-12-29,1993-12-29
802.71,COP,1993-12-30,1993-12-30
804.33,COP,1993-12-31,1993-12-31
804.33,COP,1994-01-01,1994-01-03
805.91,COP,1994-01-04,1994-01-04
810.01,COP,1994-01-05,1994-01-05
814.21,COP,1994-01-06,1994-01-06
818.83,COP,1994-01-07,1994-01-07
818.89,COP,1994-01-08,1994-01-11
818.5,COP,1994-01-12,1994-01-12
819.81,COP,1994-01-13,1994-01-13
820.1,COP,1994-01-14,1994-01-14
815.81,COP,1994-01-15,1994-01-17
816.91,COP,1994-01-18,1994-01-18
816.15,COP,1994-01-19,1994-01-19
814.56,COP,1994-01-20,1994-01-20
815.91,COP,1994-01-21,1994-01-21
815.65,COP,1994-01-22,1994-01-24
816.69,COP,1994-01-25,1994-01-25
819.1,COP,1994-01-26,1994-01-26
821.52,COP,1994-01-27,1994-01-27
821.72,COP,1994-01-28,1994-01-28
818.38,COP,1994-01-29,1994-01-31
817.0,COP,1994-02-01,1994-02-01
819.27,COP,1994-02-02,1994-02-02
817.96,COP,1994-02-03,1994-02-03
817.69,COP,1994-02-04,1994-02-04
818.0,COP,1994-02-05,1994-02-07
817.64,COP,1994-02-08,1994-02-08
817.81,COP,1994-02-09,1994-02-09
817.88,COP,1994-02-10,1994-02-10
817.88,COP,1994-02-11,1994-02-11
817.78,COP,1994-02-12,1994-02-14
817.59,COP,1994-02-15,1994-02-15
816.92,COP,1994-02-16,1994-02-16
816.1,COP,1994-02-17,1994-02-17
815.19,COP,1994-02-18,1994-02-18
814.13,COP,1994-02-19,1994-02-21
816.04,COP,1994-02-22,1994-02-22
818.33,COP,1994-02-23,1994-02-23
820.76,COP,1994-02-24,1994-02-24
819.68,COP,1994-02-25,1994-02-25
819.7,COP,1994-02-26,1994-02-28
820.12,COP,1994-03-01,1994-03-01
819.83,COP,1994-03-02,1994-03-02
819.61,COP,1994-03-03,1994-03-03
818.7,COP,1994-03-04,1994-03-04
817.86,COP,1994-03-05,1994-03-07
817.76,COP,1994-03-08,1994-03-08
818.02,COP,1994-03-09,1994-03-09
818.37,COP,1994-03-10,1994-03-10
818.46,COP,1994-03-11,1994-03-11
818.62,COP,1994-03-12,1994-03-14
818.69,COP,1994-03-15,1994-03-15
818.49,COP,1994-03-16,1994-03-16
820.44,COP,1994-03-17,1994-03-17
820.91,COP,1994-03-18,1994-03-18
821.34,COP,1994-03-19,1994-03-22
821.73,COP,1994-03-23,1994-03-23
821.82,COP,1994-03-24,1994-03-24
821.7,COP,1994-03-25,1994-03-25
821.14,COP,1994-03-26,1994-03-28
820.63,COP,1994-03-29,1994-03-29
820.78,COP,1994-03-30,1994-03-30
819.51,COP,1994-03-31,1994-04-04
820.21,COP,1994-04-05,1994-04-05
820.93,COP,1994-04-06,1994-04-06
822.57,COP,1994-04-07,1994-04-07
825.28,COP,1994-04-08,1994-04-08
828.92,COP,1994-04-09,1994-04-11
829.32,COP,1994-04-12,1994-04-12
828.81,COP,1994-04-13,1994-04-13
827.96,COP,1994-04-14,1994-04-14
827.44,COP,1994-04-15,1994-04-15
827.93,COP,1994-04-16,1994-04-18
829.47,COP,1994-04-19,1994-04-19
831.24,COP,1994-04-20,1994-04-20
834.3,COP,1994-04-21,1994-04-21
838.25,COP,1994-04-22,1994-04-22
836.96,COP,1994-04-23,1994-04-25
835.4,COP,1994-04-26,1994-04-26
837.31,COP,1994-04-27,1994-04-27
838.28,COP,1994-04-28,1994-04-28
837.27,COP,1994-04-29,1994-04-29
836.86,COP,1994-04-30,1994-05-02
838.04,COP,1994-05-03,1994-05-03
839.14,COP,1994-05-04,1994-05-04
841.0,COP,1994-05-05,1994-05-05
841.25,COP,1994-05-06,1994-05-06
841.7,COP,1994-05-07,1994-05-09
841.27,COP,1994-05-10,1994-05-10
841.33,COP,1994-05-11,1994-05-11
841.92,COP,1994-05-12,1994-05-12
843.24,COP,1994-05-13,1994-05-13
842.23,COP,1994-05-14,1994-05-17
842.21,COP,1994-05-18,1994-05-18
842.83,COP,1994-05-19,1994-05-19
842.64,COP,1994-05-20,1994-05-20
842.33,COP,1994-05-21,1994-05-23
842.92,COP,1994-05-24,1994-05-24
843.08,COP,1994-05-25,1994-05-25
842.22,COP,1994-05-26,1994-05-26
841.86,COP,1994-05-27,1994-05-27
840.93,COP,1994-05-28,1994-05-30
841.12,COP,1994-05-31,1994-05-31
841.93,COP,1994-06-01,1994-06-01
842.0,COP,1994-06-02,1994-06-02
841.44,COP,1994-06-03,1994-06-03
840.37,COP,1994-06-04,1994-06-07
839.56,COP,1994-06-08,1994-06-08
838.03,COP,1994-06-09,1994-06-09
834.96,COP,1994-06-10,1994-06-10
833.19,COP,1994-06-11,1994-06-14
833.16,COP,1994-06-15,1994-06-15
833.35,COP,1994-06-16,1994-06-16
831.28,COP,1994-06-17,1994-06-17
826.61,COP,1994-06-18,1994-06-20
828.94,COP,1994-06-21,1994-06-21
826.9,COP,1994-06-22,1994-06-22
824.76,COP,1994-06-23,1994-06-23
822.87,COP,1994-06-24,1994-06-24
821.0,COP,1994-06-25,1994-06-27
820.13,COP,1994-06-28,1994-06-28
818.73,COP,1994-06-29,1994-06-29
819.64,COP,1994-06-30,1994-06-30
818.05,COP,1994-07-01,1994-07-01
817.92,COP,1994-07-02,1994-07-05
818.45,COP,1994-07-06,1994-07-06
820.42,COP,1994-07-07,1994-07-07
820.24,COP,1994-07-08,1994-07-08
822.34,COP,1994-07-09,1994-07-11
822.14,COP,1994-07-12,1994-07-12
823.12,COP,1994-07-13,1994-07-13
822.79,COP,1994-07-14,1994-07-14
822.28,COP,1994-07-15,1994-07-15
821.04,COP,1994-07-16,1994-07-18
818.44,COP,1994-07-19,1994-07-19
817.49,COP,1994-07-20,1994-07-21
817.18,COP,1994-07-22,1994-07-22
816.68,COP,1994-07-23,1994-07-25
816.34,COP,1994-07-26,1994-07-26
815.75,COP,1994-07-27,1994-07-27
815.8,COP,1994-07-28,1994-07-28
815.62,COP,1994-07-29,1994-07-29
815.62,COP,1994-07-30,1994-08-01
815.89,COP,1994-08-02,1994-08-02
814.53,COP,1994-08-03,1994-08-03
812.69,COP,1994-08-04,1994-08-04
812.57,COP,1994-08-05,1994-08-05
811.91,COP,1994-08-06,1994-08-08
812.39,COP,1994-08-09,1994-08-09
813.64,COP,1994-08-10,1994-08-10
815.4,COP,1994-08-11,1994-08-11
815.84,COP,1994-08-12,1994-08-12
814.94,COP,1994-08-13,1994-08-16
